Year,City,Sport,Discipline,Athlete,Code,Gender,Event,Medal,Country
1992,Albertville,Bobsleigh,Bobsleigh,Rene Hannemann,GER,Men,Four-Man,Silver,Germany
1992,Albertville,Bobsleigh,Bobsleigh,Wolfgang Hoppe,GER,Men,Four-Man,Silver,Germany
1992,Albertville,Bobsleigh,Bobsleigh,Axel Kühn,GER,Men,Four-Man,Silver,Germany
1992,Albertville,Bobsleigh,Bobsleigh,Bogdan Musiol,GER,Men,Four-Man,Silver,Germany
1992,Albertville,Bobsleigh,Bobsleigh,Günther Eger,GER,Men,Two-Man,Bronze,Germany
1992,Albertville,Bobsleigh,Bobsleigh,Christoph Langen,GER,Men,Two-Man,Bronze,Germany
1992,Albertville,Bobsleigh,Bobsleigh,Rudolf Lochner,GER,Men,Two-Man,Silver,Germany
1992,Albertville,Bobsleigh,Bobsleigh,Markus Zimmermann,GER,Men,Two-Man,Silver,Germany
1992,Albertville,Luge,Luge,Jan Behrendt,GER,Men,Doubles,Gold,Germany
1992,Albertville,Luge,Luge,Stefan Krausse,GER,Men,Doubles,Gold,Germany
1992,Albertville,Luge,Luge,Yves Mankel,GER,Men,Doubles,Silver,Germany
1992,Albertville,Luge,Luge,Thomas Rudolph,GER,Men,Doubles,Silver,Germany
1992,Albertville,Luge,Luge,Georg Hackl,GER,Men,Singles,Gold,Germany
1992,Albertville,Luge,Luge,Susi-Lisa Erdmann,GER,Women,Singles,Bronze,Germany
1992,Albertville,Skating,Speed skating,Olaf Zinke,GER,Men,1000M,Gold,Germany
1992,Albertville,Skating,Speed skating,Monique Garbrecht-Enfeldt,GER,Women,1000M,Bronze,Germany
1992,Albertville,Skating,Speed skating,Jacqueline Börner,GER,Women,1500M,Gold,Germany
1992,Albertville,Skating,Speed skating,Gunda Niemann-Stirnemann,GER,Women,1500M,Silver,Germany
1992,Albertville,Skating,Speed skating,Gunda Niemann-Stirnemann,GER,Women,3000M,Gold,Germany
1992,Albertville,Skating,Speed skating,Heike Warnicke,GER,Women,3000M,Silver,Germany
1992,Albertville,Skating,Speed skating,Claudia Pechstein,GER,Women,5000M,Bronze,Germany
1992,Albertville,Skating,Speed skating,Gunda Niemann-Stirnemann,GER,Women,5000M,Gold,Germany
1992,Albertville,Skating,Speed skating,Heike Warnicke,GER,Women,5000M,Silver,Germany
1992,Albertville,Skating,Speed skating,Uwe-Jens Mey,GER,Men,500M,Gold,Germany
1992,Albertville,Skating,Speed skating,Christa Luding,GER,Women,500M,Bronze,Germany
1992,Albertville,Skiing,Alpine Skiing,Katja Seizinger,GER,Women,Super-G,Bronze,Germany
1994,Lillehammer,Biathlon,Biathlon,Ricco Gross,GER,Men,10KM,Silver,Germany
1994,Lillehammer,Biathlon,Biathlon,Uschi Disl,GER,Women,15KM,Bronze,Germany
1994,Lillehammer,Biathlon,Biathlon,Sven Fischer,GER,Men,20KM,Bronze,Germany
1994,Lillehammer,Biathlon,Biathlon,Frank Luck,GER,Men,20KM,Silver,Germany
1994,Lillehammer,Biathlon,Biathlon,Sven Fischer,GER,Men,4X7.5KM Relay,Gold,Germany
1994,Lillehammer,Biathlon,Biathlon,Ricco Gross,GER,Men,4X7.5KM Relay,Gold,Germany
1994,Lillehammer,Biathlon,Biathlon,Mark Kirchner,GER,Men,4X7.5KM Relay,Gold,Germany
1994,Lillehammer,Biathlon,Biathlon,Frank Luck,GER,Men,4X7.5KM Relay,Gold,Germany
1994,Lillehammer,Biathlon,Biathlon,Uschi Disl,GER,Women,4X7.5KM Relay,Silver,Germany
1994,Lillehammer,Biathlon,Biathlon,Simone Greiner-Petter-Memm,GER,Women,4X7.5KM Relay,Silver,Germany
1994,Lillehammer,Biathlon,Biathlon,Antje Harvey,GER,Women,4X7.5KM Relay,Silver,Germany
1994,Lillehammer,Biathlon,Biathlon,Petra Schaaf,GER,Women,4X7.5KM Relay,Silver,Germany
1994,Lillehammer,Bobsleigh,Bobsleigh,Carsten Embach,GER,Men,Four-Man,Bronze,Germany
1994,Lillehammer,Bobsleigh,Bobsleigh,Rene Hannemann,GER,Men,Four-Man,Bronze,Germany
1994,Lillehammer,Bobsleigh,Bobsleigh,Ulf Hielscher,GER,Men,Four-Man,Bronze,Germany
1994,Lillehammer,Bobsleigh,Bobsleigh,Wolfgang Hoppe,GER,Men,Four-Man,Bronze,Germany
1994,Lillehammer,Bobsleigh,Bobsleigh,Karsten Brannasch,GER,Men,Four-Man,Gold,Germany
1994,Lillehammer,Bobsleigh,Bobsleigh,Harald Czudaj,GER,Men,Four-Man,Gold,Germany
1994,Lillehammer,Bobsleigh,Bobsleigh,Olaf Hampel,GER,Men,Four-Man,Gold,Germany
1994,Lillehammer,Bobsleigh,Bobsleigh,Alexander Szelig,GER,Men,Four-Man,Gold,Germany
1994,Lillehammer,Luge,Luge,Jan Behrendt,GER,Men,Doubles,Bronze,Germany
1994,Lillehammer,Luge,Luge,Stefan Krausse,GER,Men,Doubles,Bronze,Germany
1994,Lillehammer,Luge,Luge,Georg Hackl,GER,Men,Singles,Gold,Germany
1994,Lillehammer,Luge,Luge,Susi-Lisa Erdmann,GER,Women,Singles,Silver,Germany
1994,Lillehammer,Skating,Speed skating,Anke Baier-Loef,GER,Women,1000M,Silver,Germany
1994,Lillehammer,Skating,Speed skating,Gunda Niemann-Stirnemann,GER,Women,1500M,Bronze,Germany
1994,Lillehammer,Skating,Speed skating,Claudia Pechstein,GER,Women,3000M,Bronze,Germany
1994,Lillehammer,Skating,Speed skating,Claudia Pechstein,GER,Women,5000M,Gold,Germany
1994,Lillehammer,Skating,Speed skating,Gunda Niemann-Stirnemann,GER,Women,5000M,Silver,Germany
1994,Lillehammer,Skating,Speed skating,Franziska Schenk,GER,Women,500M,Bronze,Germany
1994,Lillehammer,Skiing,Alpine Skiing,Katja Seizinger,GER,Women,Downhill,Gold,Germany
1994,Lillehammer,Skiing,Alpine Skiing,Markus Wasmeier,GER,Men,Giant Slalom,Gold,Germany
1994,Lillehammer,Skiing,Alpine Skiing,Martina Ertl,GER,Women,Giant Slalom,Silver,Germany
1994,Lillehammer,Skiing,Alpine Skiing,Markus Wasmeier,GER,Men,Super-G,Gold,Germany
1994,Lillehammer,Skiing,Ski Jumping,Jens Weissflog,GER,Men,K120 Individual (90M),Gold,Germany
1994,Lillehammer,Skiing,Ski Jumping,Christof Duffner,GER,Men,K120 Team (90M),Gold,Germany
1994,Lillehammer,Skiing,Ski Jumping,Hansjoerg Jaekle,GER,Men,K120 Team (90M),Gold,Germany
1994,Lillehammer,Skiing,Ski Jumping,Dieter Thoma,GER,Men,K120 Team (90M),Gold,Germany
1994,Lillehammer,Skiing,Ski Jumping,Jens Weissflog,GER,Men,K120 Team (90M),Gold,Germany
1994,Lillehammer,Skiing,Ski Jumping,Dieter Thoma,GER,Men,K90 Individual (70M),Bronze,Germany
1998,Nagano,Biathlon,Biathlon,Uschi Disl,GER,Women,15KM,Bronze,Germany
1998,Nagano,Biathlon,Biathlon,Sven Fischer,GER,Men,4X7.5KM Relay,Gold,Germany
1998,Nagano,Biathlon,Biathlon,Ricco Gross,GER,Men,4X7.5KM Relay,Gold,Germany
1998,Nagano,Biathlon,Biathlon,Frank Luck,GER,Men,4X7.5KM Relay,Gold,Germany
1998,Nagano,Biathlon,Biathlon,Peter Sendel,GER,Men,4X7.5KM Relay,Gold,Germany
1998,Nagano,Biathlon,Biathlon,Katrin Apel,GER,Women,4X7.5KM Relay,Gold,Germany
1998,Nagano,Biathlon,Biathlon,Petra Behle-Schaaf,GER,Women,4X7.5KM Relay,Gold,Germany
1998,Nagano,Biathlon,Biathlon,Uschi Disl,GER,Women,4X7.5KM Relay,Gold,Germany
1998,Nagano,Biathlon,Biathlon,Martina Zellner,GER,Women,4X7.5KM Relay,Gold,Germany
1998,Nagano,Biathlon,Biathlon,Katrin Apel,GER,Women,7.5KM,Bronze,Germany
1998,Nagano,Biathlon,Biathlon,Uschi Disl,GER,Women,7.5KM,Silver,Germany
1998,Nagano,Bobsleigh,Bobsleigh,Olaf Hampel,GER,Men,Four-Man,Gold,Germany
1998,Nagano,Bobsleigh,Bobsleigh,Marco Jakobs,GER,Men,Four-Man,Gold,Germany
1998,Nagano,Bobsleigh,Bobsleigh,Christoph Langen,GER,Men,Four-Man,Gold,Germany
1998,Nagano,Bobsleigh,Bobsleigh,Markus Zimmermann,GER,Men,Four-Man,Gold,Germany
1998,Nagano,Bobsleigh,Bobsleigh,Christoph Langen,GER,Men,Two-Man,Bronze,Germany
1998,Nagano,Bobsleigh,Bobsleigh,Markus Zimmermann,GER,Men,Two-Man,Bronze,Germany
1998,Nagano,Luge,Luge,Jan Behrendt,GER,Men,Doubles,Gold,Germany
1998,Nagano,Luge,Luge,Stefan Krausse,GER,Men,Doubles,Gold,Germany
1998,Nagano,Luge,Luge,Jens Mueller,GER,Men,Singles,Bronze,Germany
1998,Nagano,Luge,Luge,Georg Hackl,GER,Men,Singles,Gold,Germany
1998,Nagano,Luge,Luge,Silke Kraushaar,GER,Women,Singles,Gold,Germany
1998,Nagano,Luge,Luge,Barbara Niedernhuber,GER,Women,Singles,Silver,Germany
1998,Nagano,Skating,Figure skating,Ingo Steuer,GER,Men,Pairs,Bronze,Germany
1998,Nagano,Skating,Figure skating,Mandy Wotzel,GER,Women,Pairs,Bronze,Germany
1998,Nagano,Skating,Speed skating,Gunda Niemann-Stirnemann,GER,Women,1500M,Silver,Germany
1998,Nagano,Skating,Speed skating,Anna Friesinger-Postma,GER,Women,3000M,Bronze,Germany
1998,Nagano,Skating,Speed skating,Gunda Niemann-Stirnemann,GER,Women,3000M,Gold,Germany
1998,Nagano,Skating,Speed skating,Claudia Pechstein,GER,Women,3000M,Silver,Germany
1998,Nagano,Skating,Speed skating,Claudia Pechstein,GER,Women,5000M,Gold,Germany
1998,Nagano,Skating,Speed skating,Gunda Niemann-Stirnemann,GER,Women,5000M,Silver,Germany
1998,Nagano,Skiing,Alpine Skiing,Hilde Gerg,GER,Women,Alpine Combined,Bronze,Germany
1998,Nagano,Skiing,Alpine Skiing,Katja Seizinger,GER,Women,Alpine Combined,Gold,Germany
1998,Nagano,Skiing,Alpine Skiing,Martina Ertl,GER,Women,Alpine Combined,Silver,Germany
1998,Nagano,Skiing,Alpine Skiing,Katja Seizinger,GER,Women,Downhill,Gold,Germany
1998,Nagano,Skiing,Alpine Skiing,Katja Seizinger,GER,Women,Giant Slalom,Bronze,Germany
1998,Nagano,Skiing,Alpine Skiing,Hilde Gerg,GER,Women,Slalom,Gold,Germany
1998,Nagano,Skiing,Freestyle Skiing,Tatjana Mittermayer,GER,Women,Moguls,Silver,Germany
1998,Nagano,Skiing,Ski Jumping,Sven Hannawald,GER,Men,K120 Team (90M),Silver,Germany
1998,Nagano,Skiing,Ski Jumping,Hansjoerg Jaekle,GER,Men,K120 Team (90M),Silver,Germany
1998,Nagano,Skiing,Ski Jumping,Martin Schmitt,GER,Men,K120 Team (90M),Silver,Germany
1998,Nagano,Skiing,Ski Jumping,Dieter Thoma,GER,Men,K120 Team (90M),Silver,Germany
1998,Nagano,Skiing,Snowboard,Heidi Maria Renoth,GER,Women,Giant-Slalom,Silver,Germany
1998,Nagano,Skiing,Snowboard,Nicola Thost,GER,Women,Half-Pipe,Gold,Germany
2002,Salt Lake City,Biathlon,Biathlon,Sven Fischer,GER,Men,10KM,Silver,Germany
2002,Salt Lake City,Biathlon,Biathlon,Kati Wilhelm,GER,Women,10KM Pursuit,Silver,Germany
2002,Salt Lake City,Biathlon,Biathlon,Ricco Gross,GER,Men,12.5Km Pursuit,Bronze,Germany
2002,Salt Lake City,Biathlon,Biathlon,Andrea Henkel,GER,Women,15KM,Gold,Germany
2002,Salt Lake City,Biathlon,Biathlon,Frank Luck,GER,Men,20KM,Silver,Germany
2002,Salt Lake City,Biathlon,Biathlon,Sven Fischer,GER,Men,4X7.5KM Relay,Silver,Germany
2002,Salt Lake City,Biathlon,Biathlon,Ricco Gross,GER,Men,4X7.5KM Relay,Silver,Germany
2002,Salt Lake City,Biathlon,Biathlon,Frank Luck,GER,Men,4X7.5KM Relay,Silver,Germany
2002,Salt Lake City,Biathlon,Biathlon,Peter Sendel,GER,Men,4X7.5KM Relay,Silver,Germany
2002,Salt Lake City,Biathlon,Biathlon,Katrin Apel,GER,Women,4X7.5KM Relay,Gold,Germany
2002,Salt Lake City,Biathlon,Biathlon,Uschi Disl,GER,Women,4X7.5KM Relay,Gold,Germany
2002,Salt Lake City,Biathlon,Biathlon,Andrea Henkel,GER,Women,4X7.5KM Relay,Gold,Germany
2002,Salt Lake City,Biathlon,Biathlon,Kati Wilhelm,GER,Women,4X7.5KM Relay,Gold,Germany
2002,Salt Lake City,Biathlon,Biathlon,Kati Wilhelm,GER,Women,7.5KM,Gold,Germany
2002,Salt Lake City,Biathlon,Biathlon,Uschi Disl,GER,Women,7.5KM,Silver,Germany
2002,Salt Lake City,Bobsleigh,Bobsleigh,Carsten Embach,GER,Men,Four-Man,Gold,Germany
2002,Salt Lake City,Bobsleigh,Bobsleigh,Enrico Kuehn,GER,Men,Four-Man,Gold,Germany
2002,Salt Lake City,Bobsleigh,Bobsleigh,Kevin Kuske,GER,Men,Four-Man,Gold,Germany
2002,Salt Lake City,Bobsleigh,Bobsleigh,Andre Lange,GER,Men,Four-Man,Gold,Germany
2002,Salt Lake City,Bobsleigh,Bobsleigh,Christoph Langen,GER,Men,Two-Man,Gold,Germany
2002,Salt Lake City,Bobsleigh,Bobsleigh,Markus Zimmermann,GER,Men,Two-Man,Gold,Germany
2002,Salt Lake City,Bobsleigh,Bobsleigh,Susi-Lisa Erdmann,GER,Women,Two-Man,Bronze,Germany
2002,Salt Lake City,Bobsleigh,Bobsleigh,Nicole Herschmann,GER,Women,Two-Man,Bronze,Germany
2002,Salt Lake City,Bobsleigh,Bobsleigh,Ulrike Holzner,GER,Women,Two-Man,Silver,Germany
2002,Salt Lake City,Bobsleigh,Bobsleigh,Sandra Kiriasis,GER,Women,Two-Man,Silver,Germany
2002,Salt Lake City,Luge,Luge,Patric-Fritz Leitner,GER,Men,Doubles,Gold,Germany
2002,Salt Lake City,Luge,Luge,Alexander Resch,GER,Men,Doubles,Gold,Germany
2002,Salt Lake City,Luge,Luge,Georg Hackl,GER,Men,Singles,Silver,Germany
2002,Salt Lake City,Luge,Luge,Silke Kraushaar,GER,Women,Singles,Bronze,Germany
2002,Salt Lake City,Luge,Luge,Sylke Otto,GER,Women,Singles,Gold,Germany
2002,Salt Lake City,Luge,Luge,Barbara Niedernhuber,GER,Women,Singles,Silver,Germany
2002,Salt Lake City,Skating,Speed skating,Sabine Voelker,GER,Women,1000M,Silver,Germany
2002,Salt Lake City,Skating,Speed skating,Anna Friesinger-Postma,GER,Women,1500M,Gold,Germany
2002,Salt Lake City,Skating,Speed skating,Sabine Voelker,GER,Women,1500M,Silver,Germany
2002,Salt Lake City,Skating,Speed skating,Claudia Pechstein,GER,Women,3000M,Gold,Germany
2002,Salt Lake City,Skating,Speed skating,Jens Boden,GER,Men,5000M,Bronze,Germany
2002,Salt Lake City,Skating,Speed skating,Claudia Pechstein,GER,Women,5000M,Gold,Germany
2002,Salt Lake City,Skating,Speed skating,Sabine Voelker,GER,Women,500M,Bronze,Germany
2002,Salt Lake City,Skating,Speed skating,Monique Garbrecht-Enfeldt,GER,Women,500M,Silver,Germany
2002,Salt Lake City,Skiing,Alpine Skiing,Martina Ertl,GER,Women,Alpine Combined,Bronze,Germany
2002,Salt Lake City,Skiing,Cross Country Skiing,Tobias Angerer,GER,Men,4X10KM Relay,Bronze,Germany
2002,Salt Lake City,Skiing,Cross Country Skiing,Jens Filbrich,GER,Men,4X10KM Relay,Bronze,Germany
2002,Salt Lake City,Skiing,Cross Country Skiing,Andreas Schluetter,GER,Men,4X10KM Relay,Bronze,Germany
2002,Salt Lake City,Skiing,Cross Country Skiing,Rene Sommerfeldt,GER,Men,4X10KM Relay,Bronze,Germany
2002,Salt Lake City,Skiing,Cross Country Skiing,Viola Bauer,GER,Women,4X5KM Relay,Gold,Germany
2002,Salt Lake City,Skiing,Cross Country Skiing,Manuela Henkel,GER,Women,4X5KM Relay,Gold,Germany
2002,Salt Lake City,Skiing,Cross Country Skiing,Claudia Kuenzel,GER,Women,4X5KM Relay,Gold,Germany
2002,Salt Lake City,Skiing,Cross Country Skiing,Evi Sachenbacher,GER,Women,4X5KM Relay,Gold,Germany
2002,Salt Lake City,Skiing,Cross Country Skiing,Viola Bauer,GER,Women,5Km Pursuit,Bronze,Germany
2002,Salt Lake City,Skiing,Cross Country Skiing,Peter Schlickenrieder,GER,Men,Sprint 1.5KM,Silver,Germany
2002,Salt Lake City,Skiing,Cross Country Skiing,Evi Sachenbacher,GER,Women,Sprint 1.5KM,Silver,Germany
2002,Salt Lake City,Skiing,Nordic Combined,Ronny Ackermann,GER,Men,Sprint,Silver,Germany
2002,Salt Lake City,Skiing,Nordic Combined,Ronny Ackermann,GER,Men,Team,Silver,Germany
2002,Salt Lake City,Skiing,Nordic Combined,Georg Hettich,GER,Men,Team,Silver,Germany
2002,Salt Lake City,Skiing,Nordic Combined,Marcel Hoehlig,GER,Men,Team,Silver,Germany
2002,Salt Lake City,Skiing,Nordic Combined,Bjoern Kircheisen,GER,Men,Team,Silver,Germany
2002,Salt Lake City,Skiing,Ski Jumping,Sven Hannawald,GER,Men,K120 Team (90M),Gold,Germany
2002,Salt Lake City,Skiing,Ski Jumping,Stephan Hocke,GER,Men,K120 Team (90M),Gold,Germany
2002,Salt Lake City,Skiing,Ski Jumping,Martin Schmitt,GER,Men,K120 Team (90M),Gold,Germany
2002,Salt Lake City,Skiing,Ski Jumping,Michael Uhrmann,GER,Men,K120 Team (90M),Gold,Germany
2002,Salt Lake City,Skiing,Ski Jumping,Sven Hannawald,GER,Men,K90 Individual (70M),Silver,Germany
2006,Turin,Biathlon,Biathlon,Sven Fischer,GER,Men,10KM,Gold,Germany
2006,Turin,Biathlon,Biathlon,Kati Wilhelm,GER,Women,10KM Pursuit,Gold,Germany
2006,Turin,Biathlon,Biathlon,Martina Glagow,GER,Women,10KM Pursuit,Silver,Germany
2006,Turin,Biathlon,Biathlon,Uschi Disl,GER,Women,12.5KM Mass Start,Bronze,Germany
2006,Turin,Biathlon,Biathlon,Kati Wilhelm,GER,Women,12.5KM Mass Start,Silver,Germany
2006,Turin,Biathlon,Biathlon,Sven Fischer,GER,Men,12.5Km Pursuit,Bronze,Germany
2006,Turin,Biathlon,Biathlon,Martina Glagow,GER,Women,15KM,Silver,Germany
2006,Turin,Biathlon,Biathlon,Michael Greis,GER,Men,15KM Mass Start,Gold,Germany
2006,Turin,Biathlon,Biathlon,Michael Greis,GER,Men,20KM,Gold,Germany
2006,Turin,Biathlon,Biathlon,Katrin Apel,GER,Women,4X6KM Relay,Silver,Germany
2006,Turin,Biathlon,Biathlon,Martina Glagow,GER,Women,4X6KM Relay,Silver,Germany
2006,Turin,Biathlon,Biathlon,Andrea Henkel,GER,Women,4X6KM Relay,Silver,Germany
2006,Turin,Biathlon,Biathlon,Kati Wilhelm,GER,Women,4X6KM Relay,Silver,Germany
2006,Turin,Biathlon,Biathlon,Sven Fischer,GER,Men,4X7.5KM Relay,Gold,Germany
2006,Turin,Biathlon,Biathlon,Michael Greis,GER,Men,4X7.5KM Relay,Gold,Germany
2006,Turin,Biathlon,Biathlon,Ricco Gross,GER,Men,4X7.5KM Relay,Gold,Germany
2006,Turin,Biathlon,Biathlon,Michael Roesch,GER,Men,4X7.5KM Relay,Gold,Germany
2006,Turin,Bobsleigh,Bobsleigh,Rene Hoppe,GER,Men,Four-Man,Gold,Germany
2006,Turin,Bobsleigh,Bobsleigh,Kevin Kuske,GER,Men,Four-Man,Gold,Germany
2006,Turin,Bobsleigh,Bobsleigh,Andre Lange,GER,Men,Four-Man,Gold,Germany
2006,Turin,Bobsleigh,Bobsleigh,Martin Putze,GER,Men,Four-Man,Gold,Germany
2006,Turin,Bobsleigh,Bobsleigh,Kevin Kuske,GER,Men,Two-Man,Gold,Germany
2006,Turin,Bobsleigh,Bobsleigh,Andre Lange,GER,Men,Two-Man,Gold,Germany
2006,Turin,Bobsleigh,Bobsleigh,Sandra Kiriasis,GER,Women,Two-Man,Gold,Germany
2006,Turin,Bobsleigh,Bobsleigh,Anja Schneiderheinze,GER,Women,Two-Man,Gold,Germany
2006,Turin,Luge,Luge,Andre Florschuetz,GER,Men,Doubles,Silver,Germany
2006,Turin,Luge,Luge,Torsten Wustlich,GER,Men,Doubles,Silver,Germany
2006,Turin,Luge,Luge,Tatjana Huefner,GER,Women,Singles,Bronze,Germany
2006,Turin,Luge,Luge,Sylke Otto,GER,Women,Singles,Gold,Germany
2006,Turin,Luge,Luge,Silke Kraushaar,GER,Women,Singles,Silver,Germany
2006,Turin,Skating,Speed skating,Anna Friesinger-Postma,GER,Women,1000M,Bronze,Germany
2006,Turin,Skating,Speed skating,Claudia Pechstein,GER,Women,5000M,Silver,Germany
2006,Turin,Skating,Speed skating,Daniela Anschuetz Thoms,GER,Women,Team Pursuit,Gold,Germany
2006,Turin,Skating,Speed skating,Anna Friesinger-Postma,GER,Women,Team Pursuit,Gold,Germany
2006,Turin,Skating,Speed skating,Lucille Opitz,GER,Women,Team Pursuit,Gold,Germany
2006,Turin,Skating,Speed skating,Claudia Pechstein,GER,Women,Team Pursuit,Gold,Germany
2006,Turin,Skating,Speed skating,Sabine Voelker,GER,Women,Team Pursuit,Gold,Germany
2006,Turin,Skiing,Cross Country Skiing,Tobias Angerer,GER,Men,15KM,Bronze,Germany
2006,Turin,Skiing,Cross Country Skiing,Tobias Angerer,GER,Men,4X10KM Relay,Silver,Germany
2006,Turin,Skiing,Cross Country Skiing,Jens Filbrich,GER,Men,4X10KM Relay,Silver,Germany
2006,Turin,Skiing,Cross Country Skiing,Andreas Schluetter,GER,Men,4X10KM Relay,Silver,Germany
2006,Turin,Skiing,Cross Country Skiing,Rene Sommerfeldt,GER,Men,4X10KM Relay,Silver,Germany
2006,Turin,Skiing,Cross Country Skiing,Viola Bauer,GER,Women,4X5KM Relay,Silver,Germany
2006,Turin,Skiing,Cross Country Skiing,Stefanie Boehler,GER,Women,4X5KM Relay,Silver,Germany
2006,Turin,Skiing,Cross Country Skiing,Claudia Kuenzel,GER,Women,4X5KM Relay,Silver,Germany
2006,Turin,Skiing,Cross Country Skiing,Evi Sachenbacher Stehle,GER,Women,4X5KM Relay,Silver,Germany
2006,Turin,Skiing,Cross Country Skiing,Claudia Kuenzel,GER,Women,Sprint 1.5KM,Silver,Germany
2006,Turin,Skiing,Nordic Combined,Georg Hettich,GER,Men,Individual,Gold,Germany
2006,Turin,Skiing,Nordic Combined,Georg Hettich,GER,Men,Individual Sprint,Bronze,Germany
2006,Turin,Skiing,Nordic Combined,Ronny Ackermann,GER,Men,Team,Silver,Germany
2006,Turin,Skiing,Nordic Combined,Jens Gaiser,GER,Men,Team,Silver,Germany
2006,Turin,Skiing,Nordic Combined,Georg Hettich,GER,Men,Team,Silver,Germany
2006,Turin,Skiing,Nordic Combined,Bjoern Kircheisen,GER,Men,Team,Silver,Germany
2006,Turin,Skiing,Snowboard,Amelie Kober,GER,Women,Giant Parallel Slalom,Silver,Germany
2010,Vancouver,Biathlon,Biathlon,Magdalena Neuner,GER,Women,10KM Pursuit,Gold,Germany
2010,Vancouver,Biathlon,Biathlon,Simone Hauswald,GER,Women,12.5KM Mass Start,Bronze,Germany
2010,Vancouver,Biathlon,Biathlon,Magdalena Neuner,GER,Women,12.5KM Mass Start,Gold,Germany
2010,Vancouver,Biathlon,Biathlon,Martina Beck,GER,Women,4X6KM Relay,Bronze,Germany
2010,Vancouver,Biathlon,Biathlon,Simone Hauswald,GER,Women,4X6KM Relay,Bronze,Germany
2010,Vancouver,Biathlon,Biathlon,Andrea Henkel,GER,Women,4X6KM Relay,Bronze,Germany
2010,Vancouver,Biathlon,Biathlon,Kati Wilhelm,GER,Women,4X6KM Relay,Bronze,Germany
2010,Vancouver,Biathlon,Biathlon,Magdalena Neuner,GER,Women,7.5KM,Silver,Germany
2010,Vancouver,Bobsleigh,Bobsleigh,Kevin Kuske,GER,Men,Four-Man,Silver,Germany
2010,Vancouver,Bobsleigh,Bobsleigh,Andre Lange,GER,Men,Four-Man,Silver,Germany
2010,Vancouver,Bobsleigh,Bobsleigh,Martin Putze,GER,Men,Four-Man,Silver,Germany
2010,Vancouver,Bobsleigh,Bobsleigh,Alexander Roediger,GER,Men,Four-Man,Silver,Germany
2010,Vancouver,Bobsleigh,Bobsleigh,Kevin Kuske,GER,Men,Two-Man,Gold,Germany
2010,Vancouver,Bobsleigh,Bobsleigh,Andre Lange,GER,Men,Two-Man,Gold,Germany
2010,Vancouver,Bobsleigh,Bobsleigh,Richard Adjei,GER,Men,Two-Man,Silver,Germany
2010,Vancouver,Bobsleigh,Bobsleigh,Thomas Florschuetz,GER,Men,Two-Man,Silver,Germany
2010,Vancouver,Bobsleigh,Skeleton,Anja Huber,GER,Women,Individual,Bronze,Germany
2010,Vancouver,Bobsleigh,Skeleton,Kerstin Szymkowiak,GER,Women,Individual,Silver,Germany
2010,Vancouver,Luge,Luge,Patric Leitner,GER,Men,Doubles,Bronze,Germany
2010,Vancouver,Luge,Luge,Alexander Resch,GER,Men,Doubles,Bronze,Germany
2010,Vancouver,Luge,Luge,Felix Loch,GER,Men,Singles,Gold,Germany
2010,Vancouver,Luge,Luge,David Moeller,GER,Men,Singles,Silver,Germany
2010,Vancouver,Luge,Luge,Natalie Geisenberger,GER,Women,Singles,Bronze,Germany
2010,Vancouver,Luge,Luge,Tatjana Huefner,GER,Women,Singles,Gold,Germany
2010,Vancouver,Skating,Figure skating,Aliona Savchenko,GER,Women,Pairs,Bronze,Germany
2010,Vancouver,Skating,Figure skating,Robin Szolkowy,GER,Men,Pairs,Bronze,Germany
2010,Vancouver,Skating,Speed skating,Stephanie Beckert,GER,Women,3000M,Silver,Germany
2010,Vancouver,Skating,Speed skating,Stephanie Beckert,GER,Women,5000M,Silver,Germany
2010,Vancouver,Skating,Speed skating,Jenny Wolf,GER,Women,500M,Silver,Germany
2010,Vancouver,Skating,Speed skating,Daniela Anschutz Thoms,GER,Women,Team Pursuit,Gold,Germany
2010,Vancouver,Skating,Speed skating,Stephanie Beckert,GER,Women,Team Pursuit,Gold,Germany
2010,Vancouver,Skating,Speed skating,Anna Friesinger-Postma,GER,Women,Team Pursuit,Gold,Germany
2010,Vancouver,Skating,Speed skating,Katrin Mattscherodt,GER,Women,Team Pursuit,Gold,Germany
2010,Vancouver,Skiing,Alpine Skiing,Viktoria Rebensburg,GER,Women,Giant Slalom,Gold,Germany
2010,Vancouver,Skiing,Alpine Skiing,Maria Riesch,GER,Women,Slalom,Gold,Germany
2010,Vancouver,Skiing,Alpine Skiing,Maria Riesch,GER,Women,Super Combined,Gold,Germany
2010,Vancouver,Skiing,Cross Country Skiing,Miriam Gossner,GER,Women,4X5KM Relay,Silver,Germany
2010,Vancouver,Skiing,Cross Country Skiing,Claudia Nystad,GER,Women,4X5KM Relay,Silver,Germany
2010,Vancouver,Skiing,Cross Country Skiing,Evi Sachenbacher-Stehle,GER,Women,4X5KM Relay,Silver,Germany
2010,Vancouver,Skiing,Cross Country Skiing,Katrin Zeller,GER,Women,4X5KM Relay,Silver,Germany
2010,Vancouver,Skiing,Cross Country Skiing,Axel Teichmann,GER,Men,50KM,Silver,Germany
2010,Vancouver,Skiing,Cross Country Skiing,Tobias Angerer,GER,Men,Combined 15 + 15KM Mass Start,Silver,Germany
2010,Vancouver,Skiing,Cross Country Skiing,Axel Teichmann,GER,Men,Team Sprint,Silver,Germany
